0,0.08,0.17,0.25,0.33,0.42,0.5,0.58,0.67,0.75,0.83,0.92,1,1.08,1.17,1.25,1.33,1.42,1.5,1.58,1.67,1.75,1.83,1.92,2,2.08,2.17,2.25,2.33,2.42,2.5,2.58,2.67,2.75,2.83,2.92,3,3.08,3.17,3.25,3.33,3.42,3.5,3.58,3.67,3.75,3.83,3.92,4,4.08,4.17,4.25,4.33,4.42,4.5,4.58,4.67,4.75,4.83,4.92
41891338,41469639,41235950,41172234,41130476,41053037,41135377,41141455,41212032,41285746,41300057,41207131,41307899,41308291,41366910,41453171,41529434,41624909,41603148,41537275,41597266,41563350,41609421,41612362,41539236,41657257,41636672,41619616,41682351,41676862,41680587,41682155,41580014,41664511,41700387,41660394,41579818,41712934,41523748,41624517,41636084,41561781,41590797,41651375,41626673,41601579,41698035,41617459,41674313,41632751,41698231,41714699,41653532,41669216,41718816,41676077,41796059,41766260,41738225,41728618
45699824,45366553,45186031,42896476,45055500,44827765,42655729,44841651,44872201,44944410,44905528,42568096,44855537,44888864,44883310,44922191,45008287,45044391,45002732,45063832,45061054,45113822,45199918,45177699,45222136,45355444,45349890,45399880,45385994,45472089,45466535,45594289,45480421,45597066,45647056,45691493,45635947,45752592,45638725,45724820,45716488,45780365,45805360,45922005,45994214,45902564,46021987,46008100,46071977,46038650,46110859,46138632,46055314,46180291,46241390,46280272,46238613,46316376,46369144,46330263
38365415,38254452,38242297,38316991,38260921,38133098,38181718,38149566,38240532,38267587,38221516,38220143,38191128,38192501,38207400,38261510,38264646,38298563,38363847,38308365,38303660,38347575,38370904,38403644,38417172,38442266,38426974,38431483,38470301,38518725,38453637,38503433,38411878,38529507,38548132,38505589,38475594,38590086,38484808,38536957,38533428,38501080,38505393,38542054,38579695,38541074,38576167,38481279,38538133,38555189,38568717,38561071,38512451,38595379,38610279,38636353,38653410,38669093,38672818,38598908
45499862,45161036,45016618,44988846,44872201,44733338,44686124,44705565,44774997,44750001,42509673,44677793,44708342,44744447,44783328,44897196,44977737,45022173,45124931,45138818,45094382,45172145,45252685,45266572,45233245,45327672,45391549,45394326,45452648,45519303,45494307,45558184,45438762,45527634,45508193,45569293,45524857,45691493,45488753,45569293,45577625,45563739,45585957,45688715,45733152,45674829,45794251,45722043,45749815,45747038,45716488,45777588,45741483,45805360,45813692,45805360,45838687,45874792,45833133,45855351
46119191,45985882,45885901,45799806,45824801,45572070,45585957,45510971,45663720,45669275,45630393,45560961,45566516,45608175,45672052,45769256,45797029,45785920,45866460,45797029,45816469,45827578,45955332,45971996,45927560,46027541,46030318,46049759,46083086,46144186,46149741,46210840,46108082,46202509,46252499,46299713,46283049,46405249,46285826,46405249,46341372,46410803,46385808,46485789,46485789,46413580,46524671,46469126,46508007,46541334,46607989,46602434,46555221,46591325,46652425,46705193,46685752,46705193,46732965,46780179
38386196,38245042,38207792,38227789,38228966,38082322,38120159,38112121,38141332,38200147,38177993,38144469,38189952,38197402,38187796,38281310,38245826,38263078,38330911,38360318,38357181,38368552,38390313,38430111,38430699,38458146,38471477,38457754,38453245,38481868,38483632,38514019,38460498,38523626,38579107,38563031,38478535,38599692,38558326,38566756,38534604,38515980,38551465,38585969,38585185,38541074,38597732,38551465,38548524,38593811,38621062,38671642,38544799,38632824,38644195,38656350,38658507,38678896,38707127,38666937
47838315,47666125,47452276,47385622,47255090,47057905,47002360,46977364,46999582,47066237,46944037,46841279,46846833,46799620,46880160,46916265,46899601,46877383,46980142,46846833,46896824,46788511,46796842,46766293,46705193,46735743,46749629,46719079,46707970,46730188,46757961,46752406,46632984,46749629,46707970,46710747,46613543,46744074,46594102,46621875,46635761,46563553,46641316,46669088,46613543,46538557,46613543,46616320,46607989,46588548,46621875,46635761,46483012,46535780,46619098,46577439,46596880,46552443,46566330,46477457
46924596,46685752,46588548,46419135,46313599,46110859,46188622,46191400,46188622,46196954,46202509,46010878,46146963,46108082,46124745,46255277,46213618,46269163,46335817,46191400,46185845,46158072,46246945,46169182,46133077,46221949,46196954,46208063,46233059,46205286,46219172,46230281,46071977,46146963,46180291,46124745,46074755,46180291,45930337,46080309,46030318,46046982,45999769,46091418,46069200,46010878,46038650,46024764,46108082,45999769,46027541,46035873,45888678,45999769,45988660,46002546,46058091,45994214,46046982,45991437
46757961,46424689,46277495,46235836,46116414,45949778,45999769,45963664,45983105,45974773,45983105,45869237,45897010,45872015,45927560,45999769,45910896,45963664,45983105,45866460,45916451,45874792,45869237,45833133,45791474,45760924,45713711,45730374,45733152,45791474,45730374,45674829,45572070,45633170,45633170,45635947,45580402,45652611,45410989,45488753,45485975,45519303,45463757,45510971,45494307,45438762,45452648,45427653,45385994,45441539,45463757,45405435,45311008,45408212,45424876,45408212,45369330,45372108,45399880,45299899
